edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00004	13760	5070001000715	カネコ種苗株式会社	2015	FY	2016-08-31	2015-06-01	2016-05-31	S1008JYI	有価証券報告書－第69期(平成27年6月1日－平成28年5月31日)			1	1	1	12	1.1772626E7	5.8098999E10	2.144E9	2.28099994E9	1.46499994E9	4.3186E10	1.61979996E10	1.61979996E10	3.17E8	27.0	124.83	1379.56			4.3636998E10	1.58205E10	1.58205E10		9.26	5.23	3.69	3.93	37.51	21.64	2.0	1077.0	1280.0	956.0	1013.0	1134.0
E00006	13770	6020001008662	株式会社　サカタのタネ	2015	FY	2016-08-23	2015-06-01	2016-05-31	S1008JFM	有価証券報告書－第75期(平成27年6月1日－平成28年5月31日)			1	1	1	12	4.8410752E7	5.8773E10	7.3170002E9	7.5549998E9	5.2150001E9	1.08858999E11	8.8886002E10	8.8745001E10	1.12499994E9	25.0	115.9	1972.0			1.07085996E11	8.8148001E10	8.8012497E10		5.93	7.06	12.45	12.85	81.52	21.57	1.28	1953.0	3150.0	1795.0	2859.0	2075.0
E00008	13790	6100001003151	ホクト株式会社	2015	FY	2016-06-24	2015-04-01	2016-03-31	S1007VZQ	有価証券報告書－第53期(平成27年4月1日－平成28年3月31日)			1	1	1	12	3.335904E7	6.0986999E10	3.428E9	4.07399987E9	2.59800013E9	8.3475997E10	4.9881002E10	4.9851998E10	1.922E9	60.0	81.2	1555.69			8.2633998E10	4.9984999E10	4.9950499E10		5.2	4.93	5.62	6.68	59.72	73.98	3.85	2230.0	2594.0	1973.0	2226.0	2150.0
E00009	13810	5340001000258	株式会社アクシーズ	2015	FY	2016-09-23	2015-07-01	2016-06-30	S1008PC9	有価証券報告書－第54期(平成27年7月1日－平成28年6月30日)			1	6	1	12	5617500.0	1.83780004E10	2.34E9	2.388E9	1.22300006E9	1.15559997E10	8.7739996E9	8.7739996E9	1.96E8	35.0	217.8	1562.48			1.10194995E10	8.2605E9	8.2605E9		14.81	21.67	12.73	12.99	75.93	16.03	2.37	1501.0	2750.0	1498.0	2478.0	1987.0
E00010	13820	9450001002677	株式会社ホーブ	2015	FY	2016-09-29	2015-07-01	2016-06-30	S1008PYD	有価証券報告書－第30期(平成27年7月1日－平成28年6月30日)			1	6	1	12	762000.0	4.4850002E9	-6.8E7	-6.0E7	-1.1E8	1.17500006E9	8.68E8	8.68E8	0.0	0.0	-144.55	1140.34			1.24249997E9	9.2950003E8	9.2950003E8		-11.83	-4.83	-1.52	-1.34	73.87		0.0	1400.0	1417.0	845.0	1000.0	1164.0833333333333
E00011	19110	4010001090011	住友林業株式会社	2015	FY	2016-06-24	2015-04-01	2016-03-31	S1007V5S	有価証券報告書－第76期(平成27年4月1日－平成28年3月31日)			1	1	3	12	1.7741024E8	1.04052398E12	3.00930007E10	3.05069998E10	9.7269996E9	7.0918799E11	2.64127005E11	2.43459998E11	4.25100006E9	24.0	54.92	1374.47			6.87363E11	2.62454493E11	2.44604994E11		3.98	4.44	2.89	2.93	34.33	43.7	1.62	1301.0	1742.0	1205.0	1293.0	1394.0
E00012	13010	1010401033225	株式会社　極洋	2015	FY	2016-06-24	2015-04-01	2016-03-31	S1007V9A	有価証券報告書－第93期(平成27年4月1日－平成28年3月31日)			1	1	1	12	1.0928284E8	2.26625995E11	2.43299994E9	2.81400013E9	1.79900006E9	9.4607999E10	2.30649999E10	2.25779999E10	5.25E8	5.0	17.13	214.97			9.1772502E10	2.30670008E10	2.26134999E10		7.96	3.07	1.07	1.24	23.86	29.18	2.28	282.0	294.0	250.0	258.0	271.5
E00014	13320	1010001016860	日本水産株式会社	2015	FY	2016-06-28	2015-04-01	2016-03-31	S1007SPN	有価証券報告書－第101期(平成27年4月1日－平成28年3月31日)			1	1	1	12	2.77210272E8	6.37164E11	1.94419999E10	2.06960005E10	1.19829996E10	4.44118991E11	1.08817998E11	8.9714E10	1.382E9	5.0	43.38	324.74			4.51705995E11	1.06521502E11	8.7498498E10		13.7	4.58	3.05	3.25	20.2	11.53	1.3	367.0	709.0	333.0	547.0	360.6666666666667
E00015	13330	2010601040697	マルハニチロ株式会社	2015	FY	2016-06-28	2015-04-01	2016-03-31	S1007X68	有価証券報告書－第72期(平成27年4月1日－平成28年3月31日)			1	1	1	12	5.2656912E7	8.8481097E11	1.69720003E10	1.71239997E10	4.09699994E9	4.85973E11	1.05666003E11	8.5196997E10	1.57900006E9	30.0	77.83	1618.5			4.93994508E11	1.07421499E11	8.7044997E10		4.71	3.47	1.92	1.94	17.53	38.54	1.47	1693.0	2345.0	1632.0	2099.0	1661.0
E00017	13520	9010001034921	株式会社ホウスイ	2015	FY	2016-06-27	2015-04-01	2016-03-31	S1007YGE	有価証券報告書－第81期(平成27年4月1日－平成28年3月31日)			1	1	26	12	8.379E7	7.0906003E10	5.23E8	5.77E8	4.02E8	2.95259996E10	5.5260001E9	5.1320003E9	1.67E8	2.0	4.8	61.29			2.69194998E10	5.376E9	5.0154998E9		8.02	2.14	0.74	0.81	17.38	41.54	3.11	138.0	173.0	102.0	120.0	131.5
