edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E02357	77740	4180301011063	株式会社ジャパン・ティッシュ・エンジニアリング	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G7ZI	有価証券報告書－第21期(平成30年4月1日－平成31年3月31日)			0	7	18	12	4.06102E7	2.35699994E9	-3.49E8	-3.39E8	-3.33E8	8.7509996E9	7.9180001E9	7.9180001E9	0.0	0.0	-8.21	194.98			8.8870001E9	8.0845E9	8.0845E9		-4.12	-3.81	-14.81	-14.38	90.48		0.0	1810.0	1974.0	686.0	998.0	1124.5
E02360	61640	1110001022782	株式会社太陽工機	2018	FY	2019-03-28	2018-01-01	2018-12-31	S100FGJE	有価証券報告書－第34期(平成30年1月1日－平成30年12月31日)																																2675.0	4190.0	1161.0	1375.0	2619.25
E02362	79510	3080401005595	ヤマハ株式会社	2018	FY	2019-06-25	2018-04-01	2019-03-31	S100G30Y	有価証券報告書－第195期(平成30年4月1日－平成31年3月31日)			1	1	19	12	1.91555024E8	4.37416002E11	5.6029999E10	5.8423001E10	4.3753001E10	5.14762015E11	3.82771003E11	3.81695001E11	1.08440003E10	60.0	240.94	2124.83			5.37472991E11	3.85557987E11	3.84106988E11		11.39	10.87	12.81	13.36	74.15	24.78	2.81	4650.0	6080.0	4355.0	5530.0	5258.5
E02363	79520	2080401001323	株式会社河合楽器製作所	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100GBB2	有価証券報告書－第92期(平成30年4月1日－平成31年3月31日)			1	1	19	12	9011560.0	7.2376001E10	3.66899994E9	3.91800013E9	2.01E9	5.3231002E10	2.50050007E10	2.49149993E10	4.7E8	55.0	235.23	2912.42			5.3071E10	2.41579991E10	2.40660009E10		8.35	7.38	5.07	5.41	46.81	23.38	1.95	3530.0	5890.0	2697.0	2875.0	3570.0
E02365	79920	9010601024727	セーラー万年筆株式会社	2018	FY	2019-03-28	2018-01-01	2018-12-31	S100FI7I	有価証券報告書－第106期(平成30年1月1日－平成30年12月31日)																																337.0	374.0	118.0	181.0	233.08333333333334
E02366	79760	6010701009457	三菱鉛筆株式会社	2018	FY	2019-03-28	2018-01-01	2018-12-31	S100FI5E	有価証券報告書－第144期(平成30年1月1日－平成30年12月31日)																																2392.0	2491.0	1759.0	2145.0	2137.4285714285716
E02367	79740	1130001011420	任天堂株式会社	2018	FY	2019-06-28	2018-04-01	2019-03-31	S100G23Z	有価証券報告書－第79期(平成30年4月1日－平成31年3月31日)	任天堂株式会社	http://csr-toshokan.net/ln_book/nintendo-2019/download.pdf	1	1	19	12	1.31669E8	1.20056001E12	2.49701007E11	2.77355004E11	1.94009006E11	1.69030399E12	1.41479798E12	1.40971095E12	9.6660996E10	810.0	1615.51	11833.91			1.66202599E12	1.36918598E12	1.36437249E12		14.22	16.69	20.8	23.1	83.4	49.82	7.06	47000.0	47950.0	27055.0	31560.0	36719.583333333336
E02369	79940	3020001030157	株式会社オカムラ	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G9C2	有価証券報告書－第84期(平成30年4月1日－平成31年3月31日)	株式会社オカムラ	http://csr-toshokan.net/ln_book/okamura-2019/download.pdf	1	1	19	12	1.12391528E8	2.47924998E11	1.24179999E10	1.36769997E10	1.02340004E10	2.29275992E11	1.30403E11	1.29933001E11	3.08899994E9	28.0	92.92	1179.63			2.32520499E11	1.27994003E11	1.27577997E11		8.02	5.88	5.01	5.52	56.67	30.18	2.41	1459.0	1771.0	1109.0	1159.0	1484.0
E02371	79720	9120001014301	株式会社イトーキ	2018	FY	2019-03-27	2018-01-01	2018-12-31	S100FHDW	有価証券報告書－第69期(平成30年1月1日－平成30年12月31日)	株式会社イトーキ	http://csr-toshokan.net/ln_book/itoki-2019/download.pdf																														699.0	757.0	506.0	540.0	615.4166666666666
E02372	79970	8120001042947	株式会社くろがね工作所	2018	FY	2020-02-27	2018-12-01	2019-11-30	S100I49T	有価証券報告書－第100期(平成30年12月1日－令和1年11月30日)																																1468.0	1568.0	953.0	1011.0	1302.5833333333333
E02373	79810	5120001015344	タカラスタンダード株式会社	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100GAM7	有価証券報告書－第145期(平成30年4月1日－平成31年3月31日)			1	1	19	12	7.3937192E7	1.93281999E11	1.18009999E10	1.22360003E10	8.3219999E9	2.48697995E11	1.62038006E11	1.62038006E11	2.34E9	32.0	113.8	2215.5			2.44817494E11	1.59807996E11	1.59807996E11		5.21	5.0	6.11	6.33	65.15	28.12	1.46	1788.0	2047.0	1443.0	1695.0	1783.0833333333333
E02376	79830	6490001006215	株式会社ミロク	2018	FY	2020-01-29	2018-11-01	2019-10-31	S100HS3W	有価証券報告書－第88期(平成30年11月1日－令和1年10月31日)																																457.0	2470.0	447.0	1879.0	1977.5833333333333
