edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00004	13760	5070001000715	カネコ種苗株式会社	2016	FY	2017-08-30	2016-06-01	2017-05-31	S100B922	有価証券報告書－第70期(平成28年6月1日－平成29年5月31日)			1	1	1	12	1.1772626E7	5.7848001E10	2.01500006E9	2.116E9	1.48899994E9	4.3369001E10	1.76859996E10	1.76859996E10	3.05E8	26.0	126.86	1506.34			4.32775E10	1.69420001E10	1.69420001E10		8.79	4.89	3.48	3.66	40.78	20.48	1.8	1015.0	1649.0	995.0	1463.0	1060.0
E00006	13770	6020001008662	株式会社　サカタのタネ	2016	FY	2017-08-29	2016-06-01	2017-05-31	S100B8Q1	有価証券報告書－第76期(平成28年6月1日－平成29年5月31日)			1	1	1	12	4.8410752E7	6.1844001E10	7.7020001E9	8.2499999E9	6.112E9	1.16168999E11	9.4093001E10	9.3933003E10	1.26E9	28.0	135.83	2087.33			1.12513999E11	9.1489501E10	9.1338998E10		6.69	7.33	12.45	13.34	80.86	20.62	1.38	2860.0	3615.0	2051.0	3485.0	2490.0
E00008	13790	6100001003151	ホクト株式会社	2016	FY	2017-06-23	2016-04-01	2017-03-31	S100AKM9	有価証券報告書－第54期(平成28年4月1日－平成29年3月31日)			1	1	1	12	3.335904E7	6.3119E10	3.43000013E9	4.3789998E9	2.828E9	9.4737998E10	5.1735998E10	5.1735998E10	1.926E9	60.0	88.17	1610.83			8.9106997E10	5.08085E10	5.0794E10		5.57	4.91	5.43	6.94	54.61	68.1	3.79	2212.0	2227.0	1760.0	2007.0	1923.1666666666667
E00009	13810	5340001000258	株式会社アクシーズ	2016	FY	2017-09-13	2016-07-01	2017-06-30	S100BBWK	有価証券報告書－第55期(平成28年7月1日－平成29年6月30日)			1	6	1	12	5617500.0	1.88019999E10	2.964E9	3.05799987E9	1.96E9	1.37770004E10	1.05749996E10	1.05749996E10	2.52E8	45.0	349.02	1883.05			1.26665001E10	9.6745001E9	9.6745001E9		20.26	24.14	15.76	16.26	76.76	12.86	2.6	2478.0	2750.0	1650.0	2361.0	1880.875
E00010	13820	9450001002677	株式会社ホーブ	2016	FY	2017-09-26	2016-07-01	2017-06-30	S100BDPO	有価証券報告書－第31期(平成28年7月1日－平成29年6月30日)			1	6	1	12	762000.0	3.72199987E9	-1.83E8	-1.77E8	-4.09E8	8.21E8	4.59E8	4.59E8	0.0	0.0	-537.48	603.63			9.98E8	6.6350003E8	6.6350003E8		-61.64	-17.74	-4.92	-4.76	55.91		0.0	1020.0	1260.0	905.0	1020.0	968.2
E00011	19110	4010001090011	住友林業株式会社	2016	FY	2017-06-23	2016-04-01	2017-03-31	S100AH2F	有価証券報告書－第77期(平成28年4月1日－平成29年3月31日)			1	1	3	12	1.7741024E8	1.11336004E12	5.3988999E10	5.7841E10	3.4532E10	7.9361697E11	2.95344013E11	2.74911003E11	6.2E9	35.0	194.95	1552.04			7.5140301E11	2.79735992E11	2.59186E11		13.32	7.7	4.85	5.2	34.64	17.95	2.22	1288.0	1787.0	1190.0	1690.0	1284.0
E00012	13010	1010401033225	株式会社　極洋	2016	FY	2017-06-27	2016-04-01	2017-03-31	S100AJ83	有価証券報告書－第94期(平成28年4月1日－平成29年3月31日)			1	1	1	12	1.0928283E7	2.36561007E11	3.72300006E9	3.70899994E9	2.42200013E9	9.7391002E10	2.53909996E10	2.4975999E10	6.3E8	60.0	230.66	2378.09			9.59995E10	2.42279997E10	2.37769994E10		10.19	3.86	1.57	1.57	25.65	26.01	2.6	258.0	3210.0	251.0	2936.0	259.0
E00014	13320	1010001016860	日本水産株式会社	2016	FY	2017-06-28	2016-04-01	2017-03-31	S100AJIN	有価証券報告書－第102期(平成28年4月1日－平成29年3月31日)			1	1	1	12	3.12430272E8	6.3595302E11	2.26459996E10	2.48840008E10	1.42159995E10	4.51875996E11	1.41204996E11	1.20973001E11	1.86899994E9	6.0	48.02	388.38			4.48792003E11	1.27617999E11	1.07949998E11		13.17	5.54	3.56	3.91	26.77	13.15	1.46	542.0	655.0	420.0	555.0	520.125
E00015	13330	2010601040697	マルハニチロ株式会社	2016	FY	2017-06-28	2016-04-01	2017-03-31	S100AIUC	有価証券報告書－第73期(平成28年4月1日－平成29年3月31日)			1	1	1	12	5.2656912E7	8.7329499E11	2.63079997E10	2.78740009E10	1.54459996E10	5.01302985E11	1.22820002E11	1.00664001E11	2.368E9	45.0	293.44	1912.54			4.93637992E11	1.14243002E11	9.2930499E10		16.62	5.65	3.01	3.19	20.08	15.33	2.07	2080.0	3580.0	2026.0	3370.0	2434.0
E00017	13520	9010001034921	株式会社ホウスイ	2016	FY	2017-06-27	2016-04-01	2017-03-31	S100ANUP	有価証券報告書－第82期(平成28年4月1日－平成29年3月31日)			1	1	26	12	8.379E7	7.3760997E10	7.99E8	8.5E8	7.06E8	3.36200008E10	6.1539999E9	5.6920003E9	1.67E8	2.0	8.43	67.98			3.15730002E10	5.84E9	5.4119997E9		13.05	2.69	1.08	1.15	16.93	23.65	2.86	121.0	138.0	102.0	127.0	112.42857142857143
E00021	57110	6010001023786	三菱マテリアル株式会社	2016	FY	2017-06-28	2016-04-01	2017-03-31	S100AJT3	有価証券報告書－第92期(平成28年4月1日－平成29年3月31日)			1	1	13	12	1.31489536E8	1.30407006E12	5.9761E10	6.3924998E10	2.8352E10	1.89694004E12	7.1019502E11	6.2128102E11	7.8589998E9	60.0	216.44	4743.27			1.84516005E12	6.77606E11	5.8825402E11		4.82	3.46	4.58	4.9	32.75	27.72	1.16	315.0	4030.0	232.0	3370.0	296.0
E00023	57130	9010401015273	住友金属鉱山株式会社	2016	FY	2017-06-27	2016-04-01	2017-03-31	S100AOAB	有価証券報告書－第92期(平成28年4月1日－平成29年3月31日)			1	1	13	12	5.8162803E8	7.86146E11	7.6389999E10	-1.56499994E9	-1.85399992E10	1.68501995E12	1.02412E12	9.6169001E11	6.0679997E9	11.0	-33.61	1743.46			1.65790994E12	1.05006E12	9.7232401E11		-1.91	-0.09	9.72	-0.2	57.07		0.58	1119.0	1676.5	973.0	1583.5	1141.1666666666667
