edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00004	13760	5070001000715	カネコ種苗株式会社	2014	FY	2015-08-31	2014-06-01	2015-05-31	S1005SBA	有価証券報告書－第68期(平成26年6月1日－平成27年5月31日)			1	6	1	12	1.1772626E7	5.8781E10	2.14300006E9	2.27399987E9	1.366E9	4.4088001E10	1.54430003E10	1.54430003E10	2.93E8	25.0	116.39	1315.16			4.2430501E10	1.47230003E10	1.47230003E10		9.28	5.36	3.65	3.87	35.03	21.45	1.99	880.0	1147.0	872.0	1076.0	885.0
E00006	13770	6020001008662	株式会社　サカタのタネ	2014	FY	2015-08-25	2014-06-01	2015-05-31	S1005SWT	有価証券報告書－第74期(平成26年6月1日－平成27年5月31日)			1	1	1	12	4.8410752E7	5.6706998E10	4.7789998E9	5.808E9	3.82E9	1.05313001E11	8.741E10	8.7280001E10	1.035E9	23.0	84.9	1939.37			1.008635E11	8.4404503E10	8.4274504E10		4.53	5.76	8.43	10.24	82.88	27.09	1.23	1424.0	2115.0	1330.0	1955.0	1394.6
E00008	13790	6100001003151	ホクト株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10058KN	有価証券報告書－第52期(平成26年4月1日－平成27年3月31日)			1	1	1	12	3.335904E7	6.0949E10	3.96199987E9	5.7560003E9	3.696E9	8.1792E10	5.0089001E10	5.0048999E10	1.884E9	59.0	116.0	1565.74			7.8082998E10	4.8035E10	4.7980999E10		7.7	7.37	6.5	9.44	61.19	50.97	3.92	2148.0	2545.0	1809.0	2237.0	1986.6666666666667
E00009	13810	5340001000258	株式会社アクシーズ	2014	FY	2015-09-24	2014-07-01	2015-06-30	S1005YWH	有価証券報告書－第53期(平成26年7月1日－平成27年6月30日)			1	6	1	12	5617500.0	1.7664E10	1.85900006E9	1.934E9	1.09100006E9	1.04830003E10	7.7469998E9	7.7469998E9	1.4E8	25.0	194.29	1379.55			9.5894999E9	7.2199997E9	7.2199997E9		15.11	20.17	10.52	10.95	73.9	12.83	1.94	792.0	1699.0	780.0	1471.0	794.0
E00010	13820	9450001002677	株式会社ホーブ	2014	FY	2015-09-29	2014-07-01	2015-06-30	S1005ZMH	有価証券報告書－第29期(平成26年7月1日－平成27年6月30日)			1	6	1	12	762000.0	5.1590001E9	3.3E7	3.9E7	2.4E7	1.31E9	9.91E8	9.91E8	1.1E7	15.0	32.08	1300.74			1.338E9	9.9350003E8	9.9350003E8		2.42	2.91	0.64	0.76	75.65	45.83	1.11	1233.0	2180.0	1103.0	1362.0	1190.0
E00011	19110	4010001090011	住友林業株式会社	2014	FY	2015-06-23	2014-04-01	2015-03-31	S10052GF	有価証券報告書－第75期(平成26年4月1日－平成27年3月31日)	住友林業株式会社	http://csr-toshokan.net/ln_book/sfc-2015/download.pdf	1	1	3	12	1.7741024E8	9.97256E11	3.39940004E10	3.6423999E10	1.85719992E10	6.65538E11	2.60781998E11	2.45750006E11	3.808E9	21.5	104.85	1387.39			6.55368E11	2.43429999E11	2.32213004E11		8.0	5.56	3.41	3.65	36.93	20.5	1.56	1038.0	1347.0	1009.0	1313.0	1040.0
E00012	13010	1010401033225	株式会社　極洋	2014	FY	2015-06-24	2014-04-01	2015-03-31	S1004WFW	有価証券報告書－第92期(平成26年4月1日－平成27年3月31日)			1	1	1	12	1.0928284E8	2.18349994E11	2.46E9	2.10700006E9	2.43299994E9	8.8936997E10	2.30689997E10	2.26489999E10	5.25E8	5.0	23.17	215.65			8.6628E10	2.14995005E10	2.11744993E10		11.49	2.43	1.13	0.96	25.47	21.58	2.44	261.0	305.0	236.0	284.0	258.8
E00014	13320	1010001016860	日本水産株式会社	2014	FY	2015-06-25	2014-04-01	2015-03-31	S1004YR1	有価証券報告書－第100期(平成26年4月1日－平成27年3月31日)			1	1	1	12	2.77210272E8	6.38435E11	1.81099991E10	2.1391999E10	1.02770002E10	4.59293E11	1.04224997E11	8.5282996E10	8.29E8	3.0	37.2	308.69			4.45467984E11	9.3978501E10	7.5798503E10		13.56	4.8	2.84	3.35	18.57	8.07	0.88	217.0	427.0	207.0	365.0	235.0
E00015	13330	2010601040697	マルハニチロ株式会社	2014	FY	2015-06-25	2014-04-01	2015-03-31	S10053MF	有価証券報告書－第71期(平成26年4月1日－平成27年3月31日)			1	1	1	12	5.2656912E7	8.6378401E11	8.6860001E9	1.18340004E10	7.2189998E9	5.02015984E11	1.09177004E11	8.8892998E10	1.57900006E9	30.0	145.51	1688.6			5.02015984E11	1.09177004E11	8.8892998E10		8.12	2.36	1.01	1.37	17.71	21.87	1.45	1681.0	1830.0	1498.0	1694.0	1613.0
E00017	13520	9010001034921	株式会社ホウスイ	2014	FY	2015-06-24	2014-04-01	2015-03-31	S10053CE	有価証券報告書－第80期(平成26年4月1日－平成27年3月31日)			1	1	26	12	8.379E7	6.7428E10	2.74E8	3.21E8	1.43E8	2.48460001E10	5.7510001E9	5.4230001E9	1.67E8	2.0	1.71	64.76			2.46804992E10	5.7389998E9	5.4144998E9		2.64	1.3	0.41	0.48	21.83	116.78	2.91	131.0	147.0	119.0	138.0	126.5
