edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00004	13760	5070001000715	カネコ種苗株式会社	2017	FY	2018-08-29	2017-06-01	2018-05-31	S100DZ6E	有価証券報告書－第71期(平成29年6月1日－平成30年5月31日)			1	1	1	12	1.1772626E7	5.9101999E10	1.74700006E9	1.89100006E9	9.78E8	4.4994998E10	1.87220009E10	1.87220009E10	3.05E8	26.0	83.35	1594.79			4.4182E10	1.82040003E10	1.82040003E10		5.37	4.28	2.96	3.2	41.61	31.19	1.68	1458.0	1820.0	1365.0	1574.0	1429.0
E00006	13770	6020001008662	株式会社　サカタのタネ	2017	FY	2018-08-28	2017-06-01	2018-05-31	S100E09M	有価証券報告書－第77期(平成29年6月1日－平成30年5月31日)			1	1	1	12	4.8410752E7	6.2412001E10	7.5529999E9	7.88E9	5.7670001E9	1.21612001E11	9.9654001E10	9.9485E10	1.34899994E9	30.0	128.16	2210.82			1.18890496E11	9.6873497E10	9.6709001E10		5.96	6.63	12.1	12.63	81.81	23.39	1.39	3460.0	4095.0	3110.0	3765.0	3420.0
E00008	13790	6100001003151	ホクト株式会社	2017	FY	2018-06-22	2017-04-01	2018-03-31	S100DBDY	有価証券報告書－第55期(平成29年4月1日－平成30年3月31日)			1	1	1	12	3.335904E7	6.6907001E10	3.18099994E9	4.03299994E9	2.41799987E9	1.00555997E11	5.2500001E10	5.2500001E10	1.93E9	60.0	75.22	1630.91			9.7647002E10	5.2118E10	5.2118E10		4.64	4.13	4.75	6.03	52.21	79.82	3.7	2032.0	2182.0	1896.0	2025.0	1992.4285714285713
E00009	13810	5340001000258	株式会社アクシーズ	2017	FY	2018-09-25	2017-07-01	2018-06-30	S100E61J	有価証券報告書－第56期(平成29年7月1日－平成30年6月30日)			1	6	1	12	5617500.0	1.9369001E10	2.99100006E9	3.08600013E9	2.13100006E9	1.536E10	1.24440003E10	1.24440003E10	4.21E8	75.0	379.63	2215.94			1.45685002E10	1.15094999E10	1.15094999E10		18.52	21.18	15.44	15.93	81.02	19.76	3.66	2539.0	6240.0	2310.0	4680.0	2601.0
E00010	13820	9450001002677	株式会社ホーブ	2017	FY	2018-09-21	2017-07-01	2018-06-30	S100E4ES	有価証券報告書－第32期(平成29年7月1日－平成30年6月30日)			1	6	1	12	762000.0	3.87000013E9	-6.3E7	-5.9E7	-6.4E7	8.13E8	3.95E8	3.95E8	0.0	0.0	-84.43	519.13			8.17E8	4.27E8	4.27E8		-14.99	-7.22	-1.63	-1.52	48.59		0.0	998.0	1740.0	940.0	998.0	990.0
E00011	19110	4010001090011	住友林業株式会社	2017	FY	2018-06-22	2017-04-01	2018-03-31	S100D9AB	有価証券報告書－第78期(平成29年4月1日－平成30年3月31日)			1	1	3	12	1.82607744E8	1.22199802E12	5.3021E10	5.7864999E10	3.0134999E10	9.03682E11	3.45638994E11	3.11636984E11	7.1890002E9	40.0	168.49	1719.05			8.4864952E11	3.20491487E11	2.93273993E11		10.28	6.82	4.34	4.74	34.49	23.86	2.24	1685.0	2059.0	1547.0	1706.0	1705.0
E00012	13010	1010401033225	株式会社　極洋	2017	FY	2018-06-26	2017-04-01	2018-03-31	S100D8HA	有価証券報告書－第95期(平成29年4月1日－平成30年3月31日)			1	1	1	12	1.0928283E7	2.54782996E11	4.06599987E9	4.4370002E9	3.21100006E9	1.06305004E11	2.92430008E10	2.88889999E10	6.49E8	60.0	304.29	2679.0			1.01847998E11	2.73170002E10	2.69325005E10		11.92	4.36	1.6	1.74	27.18	20.21	2.38	2946.0	4460.0	2853.0	3800.0	2935.0
E00014	13320	1010001016860	日本水産株式会社	2017	FY	2018-06-27	2017-04-01	2018-03-31	S100DG2B	有価証券報告書－第103期(平成29年4月1日－平成30年3月31日)			1	1	1	12	3.12430272E8	6.83008E11	2.34889994E10	2.48399995E10	1.73339996E10	4.84622008E11	1.57105996E11	1.37714008E11	2.492E9	8.0	55.65	442.13			4.68248986E11	1.49155496E11	1.29343496E11		13.4	5.3	3.44	3.64	28.42	14.38	1.67	555.0	719.0	510.0	552.0	537.0
E00015	13330	2010601040697	マルハニチロ株式会社	2017	FY	2018-06-27	2017-04-01	2018-03-31	S100DAMI	有価証券報告書－第74期(平成29年4月1日－平成30年3月31日)	マルハニチロ株式会社	http://csr-toshokan.net/ln_book/maruhanichiro-2018/download.pdf	1	1	1	12	5.2656912E7	9.1882003E11	2.44970004E10	2.79170007E10	1.61019996E10	5.16843012E11	1.40049007E11	1.15458998E11	2.10499994E9	40.0	305.95	2193.8			5.09072998E11	1.31434496E11	1.08061499E11		14.9	5.48	2.67	3.04	22.34	13.07	1.6	3375.0	3560.0	2903.0	3400.0	3083.25
E00017	13520	9010001034921	株式会社ホウスイ	2017	FY	2018-06-26	2017-04-01	2018-03-31	S100DDYH	有価証券報告書－第83期(平成29年4月1日－平成30年3月31日)			1	1	26	12	8379000.0	7.3927999E10	8.37E8	8.87E8	4.24E8	3.34710006E10	6.48E9	5.9510001E9	1.67E8	20.0	50.68	710.73			3.35455007E10	6.3170002E9	5.8214999E9		7.28	2.64	1.13	1.2	17.78	39.39	2.64	127.0	1270.0	113.0	1162.0	118.0
